Original Attribute Name,Original Attribute Type,Original Attribute Definition,Parent Elements,NIEM Eqivalent/Refined Attribute Name,NIEM Eqivalent/Refined Attribute Type,NIEM Eqivalent/Refined Attribute Definition,Status,Comments
usagePattern,string,Description of any web usage patterns revealed by web history analysis,webHistory,,,,Needs to be refined by Tiger Team.,
wirelessNetworks,object,Information about a wireless network associated with the device,,,,,Needs to be refined by Tiger Team.,
bssId,string,Basic service set identifier; used to describe sections of a wireless local area network or WLAN,wirelessNetwork,BSSIdentifier,nc:IdentificationID,An identifier for a basic service set (BSS).,Initial refinement completed. Pending Tiger Team review.,
securityMode,string,Name of security protocol used by a wireless network,wirelessNetwork,,,,Needs to be refined by Tiger Team.,
lastConnectedTime,string,Most recent date and time that a device was connected to a particular network,wirelessNetwork,LastConnectionDateTime,niem-xs:dateTime,A date and time that a device most recently connected to a particular network.,Initial refinement completed. Pending Tiger Team review.,
lastAutoConnectionTime,string,Most recent date and time that a device automatically connected to a particular network,wirelessNetwork,LastAutoConnectionDateTime,niem-xs:dateTime,A date and time that a device most recently connected to a particular network automatically.,Initial refinement completed. Pending Tiger Team review.,
package,,,wirelessNetwork,,,,Needs to be refined by Tiger Team.,
timeline,object,Chronological representation of when events occurred,,,,,Needs to be refined by Tiger Team.,
eventDescription,string,A description of some event.,timeline,mo:eventDescriptionText,niem-xs : string,A description of some event.,Mapped to existing NIEMOpen attribute.,
deviceUsageTimelineSummary,string,"Information related to the time a device has been used, including notable device-related events",timeline,DeviceUsageTimelineDescription,nc : TextType,"Information related to the time(s) a device has been used, including notable device-related events.",Initial refinement completed. Pending Tiger Team review.,
contactIdentificationData,object,An association between contact information and a Person or Organization,,im : PartyContactInformationAssociation,im : PartyContactInformationAssociationType,An association between contact information and a Person or Organization,Mapped to existing NIEMOpen attribute.,
simData,object,A smart card that identifies a mobile telephone service subscriber.,,nc:SIMCard,nc : DeviceType,A smart card that identifies a mobile telephone service subscriber.,Mapped to existing NIEMOpen attribute.,
SocialMediaActivity,object,"An event performed on social media, such as a post or comment",,,,,Needs to be refined by Tiger Team.,
taggedParties,object,Person(s) tagged in a social media activity,parties,,,,Needs to be refined by Tiger Team.,
author,object,"An entity primarily responsible for generating the resource. For DoD, creator is synonymous with author, originator, and collector.",parties,mo:Creator,nc : EntityType,"An entity primarily responsible for generating the resource. For DoD, creator is synonymous with author, originator, and collector.",Mapped to existing NIEMOpen attribute.,
privacySettings,string,A description of data privacy for an element,socialMediaActivity,hs:DataPrivacyDescriptionText,nc : TextType,A description of data privacy for an element,Mapped to existing NIEMOpen attribute.,
postStatus,string,A status posted on a social media platform,socialMediaActivity,,,,Needs to be refined by Tiger Team.,
socialMediaPlatform,string,The name of the social media platform used,socialMediaActivity,,,,Needs to be refined by Tiger Team.,
reactions,array,List of reactions to a social media post,socialMediaActivity,,,,Needs to be refined by Tiger Team.,
reactionsCount,integer,Quantity of reactions to a social media post,socialMediaActivity,,,,Needs to be refined by Tiger Team.,
sharesCount,integer,Number of times a social media post was shared,socialMediaActivity,,,,Needs to be refined by Tiger Team.,
socialMediaActivityType,string,Type of action performed on a social media platform,socialMediaActivity,,,,Needs to be refined by Tiger Team.,
commentCount,integer,Number of comments on a social media post,socialMediaActivity,SocialMediaPostCommentCount,xs:integer,Number of comments on a social media post.,Initial refinement completed. Pending Tiger Team review.,
isFromActivityLog,boolean,True if the information was obtained from a social media activity log; false if it was obtained elsewhere,socialMediaActivity,isFromActivityLogIndicator,niem-xs : boolean,True if the information was obtained from a social media activity log; false if it was obtained elsewhere,Initial refinement completed. Pending Tiger Team review.,
socialMediaChannelType,string,Category of a social media channel,socialMediaActivity,,,,Needs to be refined by Tiger Team.,
CalendarEntry,object,An event or activity entered into a calendar on a device,,CalendarEntry,CalendarEntryType,An event or activity entered into a calendar,Initial refinement completed. Pending Tiger Team review.,
attendees,object,Persons attending an event,parties,nc:PersonActivityAssociation,nc:AssociationType,Person information for entities attending an event,Mapped to existing NIEMOpen attribute.,
eventCategory,string,A type or kind of an event.,"calendarEntry, deviceEvents, timeline",mo:EventCategoryCode,mo : CodespaceCodePairType,A type or kind of an event.,Mapped to existing NIEMOpen attribute.,
eventSubject,string,Subject of an event,calendarEntry,EventSubjectText,niem-xs : string,Subject of an event.,Initial refinement completed. Pending Tiger Team review.,
eventPriority,string,Level of importance assigned to an event by the event organizer,calendarEntry,EventPriorityLevel,niem-xs : string,Level of importance assigned to an event by the event organizer.,Initial refinement completed. Pending Tiger Team review.,
eventStatus,string,Status of an event,calendarEntry,EventStatusText,niem-xs : string,Status of an event.,Initial refinement completed. Pending Tiger Team review.,
eventClass,string,Classification of an event,calendarEntry,mo:EventCategoryCode,mo : CodespaceCodePairType,A type or kind of an event.,Mapped to existing NIEMOpen attribute.,
repeatRule,string,,calendarEntry,,,,Needs to be refined by Tiger Team.,
repeatDay,string,Day that an event is set to repeat on,calendarEntry,RepeatDay,nc : TextType,Day that an event is set to repeat on.,Initial refinement completed. Pending Tiger Team review.,
repeatInterval,string,A measure of occurrences of a repeating event per unit of time.,calendarEntry,mo:FrequencyMeasure,mo : FrequencyMeasureType,A measure of occurrences of a repeating event per unit of time.,Mapped to existing NIEMOpen attribute.,
eventAvailability,string,A period of time or a situation in which an entity is available to be contacted with the given contact information.,calendarEntry,nc:ContactInformationAvailabilityText,nc : TextType,A period of time or a situation in which an entity is available to be contacted with the given contact information.,Mapped to existing NIEMOpen attribute.,
eventDetails,string,Additional information about the event,calendarEntry,EventDetailsText,niem-xs : string,Description of an event.,Initial refinement completed. Pending Tiger Team review.,
activitySensorData,object,"Information retrieved from an activity sensor, such as a smart watch",,ActivitySensorDataType,niem-xs:string,A data type for information retrieved from an activity sensor.,Initial refinement completed. Pending Tiger Team review.,
SampleSourceType,string,Type of device that activity sensor data was obtained from,ActivitySensorData,ActivitySensorSampleSource,nc : TextType,Kind of activity sensor device that the data was obtained from.,Initial refinement completed. Pending Tiger Team review.,
MaxHeartrate,number,Maximum heartrate received from the activity sensor data,ActivitySensorData,ActivitySensorMaxHeartRate,niem-xs:integer,Maximum heart rate received in an activity sensor data sample.,Initial refinement completed. Pending Tiger Team review.,
DistanceTraveled,number,Distance traveled according to the activity sensor data,ActivitySensorData,ActivitySensorDistanceTraveled,ActivitySensorDataType,Distance traveled according to activity sensor data.,Initial refinement completed. Pending Tiger Team review.,
FlightsClimbed,number,Number of flights of stairs climbed according to activity sensor data,ActivitySensorData,ActivitySensorFlightsClimbed,ActivitySensorDataType,Number of flights of stairs climbed according to activity sensor data,Initial refinement completed. Pending Tiger Team review.,
MaxSpeed,number,maximum speed traveled according to activity sensor data,ActivitySensorData,ActivitySensorMaxSpeed,niem-xs:integer,A maximum speed traveled according to activity sensor data.,Initial refinement completed. Pending Tiger Team review.,
TotalSampleCount,integer,Total number of samples received from activity sensor data,ActivitySensorData,ActivitySensorSampleQuantity,niem-xs : integer,The total number of data samples received from an activity sensor.,Initial refinement completed. Pending Tiger Team review.,
ActivitySensorDataMeasurement,object,A general measurement taken from an activity sensor,ActivitySensorData,ActivitySensorDataMeasurementValue,nc : ValueType,A measurement taken from an activity sensor.,Initial refinement completed. Pending Tiger Team review.,
MeasuredVariableType,string,Type of data being measured,ActivitySensorDataMeasurement,ActivitySensorDataMeasurementName,nc : TextType,"Name of the kind of data being measured from an activity sensor (e.g. steps, exercise time, calories burned).",Initial refinement completed. Pending Tiger Team review.,
MeasurementUnits,string,A unit that qualifies the measurement value.,ActivitySensorDataMeasurement,nc:MeasureUnitText,nc : TextType,A unit that qualifies the measurement value.,Mapped to existing NIEMOpen attribute.,
AverageValue,number,Average value for a variable,ActivitySensorDataMeasurement,mo:ComputationMethodMeanValue,niem-xs:decimal,An average numeric value of a variable.,Mapped to existing NIEMOpen attribute.,
TotalValue,number,Total value for a variable,ActivitySensorDataMeasurement,ActivitySensorDataMeasurementTotal,niem-xs : integer,Total value for a specific kind of data being measured from an activity sensor.,Initial refinement completed. Pending Tiger Team review.,
MaximumValue,number,Maximum value for a variable,ActivitySensorDataMeasurement,ActivitySensorMaxValue,niem-xs:integer,Maximum value in a specific kind of data set being measured from an activity sensor.,Initial refinement completed. Pending Tiger Team review.,
ActivitySensorDataSample,object,A subset of information obtained from an activity sensor,ActivitySensorDataMeasurement,ActivitySensorDataSample,ActivitySensorDataType,Information about a sample of data taken from an activity sensor.,Initial refinement completed. Pending Tiger Team review.,
dateSampled,string,A date a sample was collected.,ActivitySensorDataSample,j:TestCollectionDate,nc : DateType,A date a sample was collected.,Mapped to existing NIEMOpen attribute.,
note,object,Note entry on a device,,,,,Needs to be refined by Tiger Team.,
noteSummary,string,High level overview of a note from a device,note,,,,Needs to be refined by Tiger Team.,
noteTitle,string,Title of a note on a device,note,,,,Needs to be refined by Tiger Team.,
noteBody,string,Body of text for a note on a device,note,,,,Needs to be refined by Tiger Team.,
primaryDeviceUserInformation,object,"Assessment of the primary device user based on correlations between names, media, and official government documentation identified on the device",,DeviceUserAssociation,nc : AssociationType,"An assessment of the primary device user based on correlations between names, media, and official government documentation identified on the device.",Initial refinement completed. Pending Tiger Team review.,
primaryDeviceUserDescription,string,A description of the information,primaryDeviceUserInformation,nc:DescriptionText,nc : TextType ,A description of the information,Mapped to existing NIEMOpen attribute.,
names,object,A combination of names and/or titles by which a person is known.,primaryDeviceUserInformation,nc:PersonName,nc : PersonNameType,A combination of names and/or titles by which a person is known.,Mapped to existing NIEMOpen attribute.,
officialGovernmentDocumentation,object,Information about official government documentation found on the device that is correlated to the device user,primaryDeviceUserInformation,,,,Needs to be refined by Tiger Team.,
deviceOwnerWhatsApp,string,Whats App ID of the device owner,primaryDeviceUserInformation,nc:InstantMessengerScreenID,niem-xs : string,An account identifier used to reference a person or organization within an instant messaging system.,Mapped to existing NIEMOpen attribute.,
deviceOwnerNumber,string,Phone number of the device owner,primaryDeviceUserInformation,j:EntityTelephoneNumberAssociation,j:EntityTelephoneNumberAssociationType,"A relationship between an entity (person or organization) and a telephone number, for example to indicate that a person has or uses a particular phone number.",Mapped to existing NIEMOpen attribute.,
assessedPrimaryDeviceUser,string,base64 image of the primary device user,primaryDeviceUserInformation,DeviceUserImage,nc:ImageType,A picture of the primary device user.,Initial refinement completed. Pending Tiger Team review.,
personFullName,string,A complete name of a person.,primaryDeviceUserInformation,nc:PersonFullName,nc : PersonNameTextType ,A complete name of a person.,Mapped to existing NIEMOpen attribute.,
unrecognizedFiles,object,File not recognized by the analysis software,,,,,Needs to be refined by Tiger Team.,
fileExtensionMismatched,string,Text indicating the type of file extension mismatch present,unrecognizedFiles,FileExtensionMismatchText,nc : TextType,A description indicating the type of file extension mismatch present.,Initial refinement completed. Pending Tiger Team review.,
CemUID,string,Collected Exploitable Material Unique Identifier,"exhibits, devices, components",CemUID,niem-xs: string,A unique identifier for a piece of collected exploitable material (CEM),Initial refinement completed. Pending Tiger Team review.,
